"구분","시군구","항목","단위","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월",
"서울","계","미분양현황","","2905","2734","2259","2185","2241","2601","2492","2362","1797","1724","1522","1356","1497","1238","1064","987","976","638","482","317","251","264","241","494","737","884","788","651","507","409","426","372","327","283","268","274","205","187","200","157","119","64","41","39","75","56","68","45","45","48","48","47","47","47","42","39","29","28","28","27","27","50","770","292","178","123","190","205","207","191","176","151","131","112","91","78","70","61","58","56","54","52","52","49","49","88","82","76","71","65","59","55","55","55","54","54","47","47","180","360","688","719","592","610","719","866","865","953","996","2099","1084","1058",
"서울","종로구","미분양현황","","28","20","15","14","11","6","1","1","1","1","1","1","211","201","151","116","71","53","44","33","15","5","5","5","5","5","5","5","5","5","5","5","5","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"서울","강남구","미분양현황","","1","1","1","0","43","35","50","36","20","18","15","13","12","8","6","5","4","4","4","3","3","3","3","3","3","4","3","3","3","3","2","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","20","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"서울","중구","미분양현황","","27","27","27","12","11","9","8","6","5","5","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",
"서울","강동구","미분양현황","","126","120","114","103","158","1019","1014","1003","988","934","782","726","653","448","112","51","44","39","25","16","24","12","3","3","3","3","3","9","7","5","4","3","3","1","0","0","36","36","30","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","15","14","13","13","13","137","137","136","134","123","116","105","91","71","58","56","52","50","50","50","50","50","48","48","48","47","47","47","47","47","46","46","46","46","46","41","41","41","36","33","32","32","32","32","32","32","32","32","1156","257","229",
"서울","용산구","미분양현황","","83","95","95","86","86","54","51","51","51","233","217","207","198","186","169","160","153","120","84","61","41","24","10","9","9","9","8","8","7","7","6","4","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","41","41","0","41","37","37","37",
"서울","강북구","미분양현황","","62","48","48","48","48","47","47","42","18","12","9","3","3","3","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","195","332","318","197","183","183","228","227","227","201","200","200","186",
"서울","성동구","미분양현황","","170","135","111","100","99","93","88","81","47","20","9","6","4","0","0","0","0","0","0","0","0","0","0","266","266","245","245","224","203","184","163","138","112","90","85","80","77","76","71","62","33","8","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","3","3","3","3","","3","3","3","3","3","3","3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"서울","강서구","미분양현황","","56","56","56","56","56","45","45","45","21","21","21","13","13","13","318","318","318","99","99","21","10","0","0","0","0","0","0","0","0","0","17","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","131","131","129","129","126",
"서울","광진구","미분양현황","","6","6","6","5","3","16","13","12","8","7","5","5","1","0","0","16","6","3","0","0","0","0","28","22","18","14","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","721","244","110","3","18","14","20","10","7","7","5","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","5","5","5","5","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",
"서울","동대문구","미분양현황","","2","2","0","0","11","11","11","6","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96","64","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","75","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","133","95","69","55","52","50","50","50","50","50","52","52","52","52",
"서울","관악구","미분양현황","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"서울","중랑구","미분양현황","","82","72","68","61","47","42","42","42","42","29","29","3","3","0","0","0","0","0","0","0","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"서울","성북구","미분양현황","","82","77","77","205","198","191","200","133","133","118","86","86","169","143","97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","26","24","14","9","8","6","4","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"서울","구로구","미분양현황","","146","126","112","102","95","83","41","24","5","0","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","22","38","15","14","18","18","17","17","17","12","11","1","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","39","34","28","23","17","11","4","4","4","1","1","1","1","1","29","4","1","1","1","69","193","193","191","191","191","89","88",
"서울","금천구","미분양현황","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","34","12","12","12","12","12","12","34",
"서울","노원구","미분양현황","","7","7","7","7","7","7","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","3","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","0","0","0","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"서울","도봉구","미분양현황","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","40","40","31","31","31","31","34","34","21","14","14","3","2","2","2","2","2","2","2","2","2","2","2","2","0","","","0","0","0","5","5","5","5","5","5","24","22","18","17","15","11","10","9","9","6","6","6","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","60","60","60","60","60","60","60","60","60","60",
