"구분(1)",2022.1/2,2022.1/2,2022.1/2,2022.2/2,2022.2/2,2022.2/2
"구분(1)",필지수,면적,공시지가,필지수,면적,공시지가
"합계",171798,260747316,32454981,176719,264009573,32886745
"서울",38737,3125636,11848669,39194,3181183,12068874
"부산",4652,4826363,2196372,4759,4839258,2176995
"대구",2058,1738218,363068,2109,1741067,368038
"인천",12861,3856967,2642588,13321,3977056,2712539
"광주",771,2610631,309773,786,2588899,308272
"대전",1524,1469909,321866,1534,1478111,324057
"울산",1730,7284852,1331167,1761,7266642,1328206
"세종",902,2493282,79375,916,2496320,79557
"경기",51354,48227940,5258643,53397,48617772,5368157
"강원",8554,23693302,286808,8714,24177640,298350
"충북",4945,13813324,371019,5103,14134274,375659
"충남",9771,22111758,1014800,10411,22687640,1029098
"전북",3533,8678692,283303,3635,8722212,284215
"전남",5441,38963885,2527187,5459,39157680,2526399
"경북",4442,36348404,1766917,4643,36896698,1770163
"경남",4947,19758275,1280639,5204,20229081,1295402
"제주",15576,21745878,572787,15773,21818040,572764
