"사고유형별(1)",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"사고유형별(1)",합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"합계",302375,46153,16428,17169,11840,11635,10221,5463,1130,80395,11021,12549,12682,9665,14142,18852,16106,6923
"도로교통",291608,44911,15880,16848,11463,11407,10081,5171,1019,77790,10226,12190,12255,8928,13600,18065,15049,6725
"화재",1854,280,138,61,65,19,40,63,15,425,141,94,55,80,65,188,106,19
"산불",7,-,-,-,-,-,-,-,-,3,-,1,-,-,-,1,2,-
"철도(열차)",13,1,1,-,-,1,1,-,-,2,-,2,2,1,-,2,-,-
"철도(지하철)",7,3,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-
"가스 총괄",62,5,5,2,-,1,-,-,-,12,5,-,7,6,1,10,7,1
"가스 폭발",19,2,2,1,-,-,-,-,-,2,2,-,2,1,-,1,6,-
"가스 보일러",4,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-
"해양",196,-,6,-,21,-,-,6,-,-,10,-,25,28,27,7,47,19
"유·도선(내수면)",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"유·도선(해수면)",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"환경오염",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"공단내시설",21,17,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
"광산",21,-,-,-,-,-,-,-,-,1,14,5,-,-,-,1,-,-
"전기(감전)",388,45,20,31,14,15,25,5,0,84,11,20,20,21,22,26,24,5
"승강기",75,20,6,4,7,1,2,1,0,17,1,2,3,-,2,1,4,4
"항공기",7,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,3,-
"붕괴",140,11,5,5,9,13,3,3,2,42,2,3,5,5,7,8,13,4
"수난(익사 등)",189,5,25,3,5,1,1,3,-,19,19,2,12,10,20,24,22,18
"등산",4057,633,205,155,183,142,41,101,15,933,461,148,124,150,117,214,379,56
"추락",1702,170,101,38,37,12,16,56,27,528,79,29,65,98,92,117,192,45
"농기계",794,-,5,5,9,-,2,14,6,100,12,37,83,89,139,132,144,17
"자전거",1117,40,13,8,21,21,7,38,45,402,37,14,21,244,46,52,98,10
"레저(생활체육)",52,3,6,6,4,1,1,2,1,14,-,1,-,1,2,3,7,-
"놀이시설",42,7,7,2,2,1,1,-,-,11,1,1,2,3,1,-,3,-
