"사고유형별(1)",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"사고유형별(1)",합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"합계",3664,305,150,91,135,70,69,71,13,655,222,189,330,230,314,429,326,65
"도로교통",2916,240,118,78,113,49,57,50,9,531,145,160,274,194,255,339,252,52
"화재",276,37,16,5,10,8,6,5,-,66,19,11,17,10,21,21,21,3
"산불",7,-,-,-,-,-,-,-,-,1,-,-,2,1,-,3,-,-
"철도(열차)",14,1,-,-,-,1,2,-,1,2,-,2,-,1,1,2,1,-
"철도(지하철)",7,4,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
"가스 총괄",3,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-
"가스 폭발",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가스 보일러",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"해양",43,-,4,-,4,-,-,2,-,1,8,-,7,4,4,4,4,1
"유·도선(내수면)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"유·도선(해수면)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"환경오염",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"공단내시설",24,4,1,-,1,-,-,5,-,-,-,-,-,-,7,2,4,-
"광산",3,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-
"전기(감전)",24,4,-,2,3,-,-,-,-,5,4,-,-,-,1,3,2,-
"승강기",5,1,-,-,-,-,1,-,-,1,-,-,-,-,1,-,1,-
"항공기",8,-,-,-,-,1,-,-,-,-,1,-,3,1,-,-,2,-
"붕괴",24,2,-,-,1,10,-,-,-,2,2,-,1,-,5,1,-,-
"수난(물놀이)",24,-,1,-,-,-,1,-,-,3,9,1,2,-,-,5,2,-
"수난(익사 등)",85,-,5,2,1,1,-,4,-,12,13,5,7,1,6,13,12,3
"등산",68,7,-,3,-,-,1,3,-,14,14,6,1,4,1,8,5,1
"추락",44,4,3,1,2,-,1,1,2,7,5,-,3,2,2,1,6,4
"농기계",79,-,2,-,-,-,-,-,1,1,-,3,12,10,10,26,13,1
"자전거",10,1,-,-,-,-,-,-,-,6,-,-,-,1,-,1,1,-
"레저(생활체육)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"놀이시설",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
